"CNES";"UF";"IBGE";"NOME";"LOGRADOURO";"BAIRRO";"LATITUDE";"LONGITUDE"
8710;35;354780;"UBS CENTRO DE SAUDE ESCOLA";"RUA IRLANDA";"PARQUE NOVO ORATORIO";-23,63989;-46,4954
8826;35;354780;"UBS JARDIM ALVORADA";"RUA DOUTOR ALMENOR JARDIM SILVEIRA";"JARDIM ALVORADA";-23,69624;-46,52143
8885;35;354780;"UBS RECREIO DA BORDA DO CAMPO";"AVENIDA MICO LEAO DOURADO";"RECREIO BORDA CAMPO";-23,73182;-46,48132
8761;35;354780;"UBS JARDIM MAREK MARIA APARECIDA CESARIO DE OLIVEIRA";"RUA ENGENHEIRO ALFREDO HEITZMANN JUNIOR";"JARDIM MAREK";-23,67641;-46,4889
8990;35;354990;"UBS SANTANA";"AVENIDA RUI BARBOSA";"SANTANA";-23,14941;-45,90462
8958;35;354780;"UBS CENTRO";"RUA XAVIER DE TOLEDO";"CENTRO";-23,66198;-46,52267
9040;35;354990;"UBS NOVO HORIZONTE";"AVENIDA TANCREDO NEVES";"PQ NOVO HORIZONTE";-23,17901;-45,88697
9059;35;354990;"UBS VILA TESOURO";"PRACA ASSIS CHATEAUBRIAND";"VILA TESOURO";-23,17896;-45,887
9067;35;354990;"UBS BUQUIRINHA";"RUA JOSE MENDONCA DA COSTA";"BUQUIRINHA";-23,17899;-45,88697
9237;35;354990;"UBS VILA PAIVA";"RUA JOAO PEDRO DA ROCHA";"VILA PAIVA";-23,1371;-45,90964
9245;35;354990;"UBS LIMOEIRO";"RUA CORIFEU DE AZEVEDO MARQUES";"LIMOEIRO";-23,24221;-45,93678
9377;35;354990;"UBS VILA INDUSTRIAL E TATETUBA";"RUA MISAEL MARCAL";"VILA TATETUBA";-23,17928;-45,85986
9385;35;354990;"UBS JARDIM SANTA INES II";"RUA DOS CIRURGIOES DENTISTAS";"JARDIM SANTA INES II";-23,16851;-45,80518
9415;35;354990;"UBS BOSQUE DOS EUCALIPTOS";"RUA MARIA PALMIRA FERREIRA IVO";"BOSQUE DOS EUCALIPTO";-23,25039;-45,88701
9105;35;354990;"UBS VISTA VERDE";"RUA BRASILIA";"VISTA VERDE";-23,17646;-45,82203
25917;35;354990;"UBS CAMPOS DE SAO JOSE";"RUA DALILA MARQUES MIGUEZ";"CAMPOS DE SAO JOSE";-23,21475;-45,80798
26131;35;353440;"UBS JOSE GUIMARAES DE ABREU";"RUA ARTELINDA RUGGERI DADDATO";"JD CIPAVA";-23,54322;-46,78751
29181;35;354780;"UBS JARDIM CIPRESTE";"RUA CAMINHO DOS VIANAS";"JARDIM CIPRESTE";-23,71438;-46,51459
29661;35;352430;"UNIDADE BASICA DE SAUDE MARGARIDA BRIGATE DOS SANTOS";"RUA ADIVINO APARECIDO GONCALVES DE LIMA";"PARQUE DAS ARARAS";-21,27782;-48,32942
34991;35;351500;"UBS JARDIM MIMAS";"RUA CEILAO";"JARDIM MIMAS";-23,61982;-46,8156
42595;35;351910;"USF IV IACANGA";"ANTONIO NETO";"JARDIM BRASIL";-21,89044;-49,01503
43737;35;351100;"UNIDADE BASICA DE SAUDE GENERCINA VIEIRA S SAKAKIBARA";"LINHA JUPIA";"REASSENTAMENTO PROJE";-20,872;-51,488
46612;35;353490;"ESTRATEGIA SAUDE DA FAMILIA II PACAEMBU";"RUA DR PAULO ANTONIO RIBEIRO FRAGA";"ESPLANADA";-21,56325;-51,2622
64203;35;352690;"AMBULATORIO DE ESPECIALIDADES DR HELIO MARCIO MAMEDE LIMEIRA";"RUA PROFESSORA MARIA EXPEDITA CORDEIRO DA SILVA";"RESIDENCIAL RUBI";-22,61534;-47,42844
4672798;35;353510;"PROGRAMA SAUDE DA FAMILIA II";"RUA BENEDITO DE ANDRADE";"BENEDITO SANTANA";-21,09003;-48,80002
79278;35;352520;"UNIDADE BASICA DE SAUDE CENTRAL";"RUA JULIO DE TOLEDO";"VILA RICA";-23,10442;-46,72751
80446;35;351360;"ESF ALTO DO GOUVEA";"RUA EZEQUIEL VAZ DE CAMPOS";"ALTO DO GOUVEA";-23,07144;-44,95542
86185;35;355250;"USF VEREADOR MARSAL LOPES ROSA";"RUA PROFESSOR JEREMIA";"VILA URUPES";-23,54386;-46,29578
87297;35;355030;"GMT";"R LUIZ DOS SANTOS CABRAL";"JARDIM ANALIA FRANCO";-23,548;-46,636
87718;35;352044;"PRONTO ATENDIMENTO DE SINDROMES GRIPAIS";"RUA PLANALTO";"CENTRO";-20,42982;-51,34205
107565;35;351440;"ESF DR PEDRO BOCCA NETTO";"RUA TERENAS";"JD CAMPO BELO";-21,47968;-51,51598
111406;35;353340;"UNIDADE BASICA DE SAUDE VI";"RUA AURELIA DE PAULA BELINATI";"JARDIM MARAJOARA";-22,77062;-47,31264
116076;35;352890;"UBS PREF JOSE ERONIS BARBOSA DA SILVA";"AVENIDA DAS ORQUIDEAS";"CENTRO";-21,7908;-51,17156
135046;35;352620;"USF CONCEICAO";"RUA ANTONIO PEREIRA BRANCO";"CONCEICAO";-23,9319;-47,068
152374;35;354280;"UNIDADE INTEGRADA DE SAUDE BELARMINA TRAMONTIN BATISTA";"RUA DAS AMOREIRAS";"VILA ITO";-24,00195;-49,00506
9210;35;354990;"UBS VILA MARIA";"RUA SAO PEDRO";"VILA MARIA";-23,17712;-45,87891
163465;35;351640;"UBS NEUSA RAMOS ROSSI";"RUA CEARA";"VILA ELIZA";-23,30423;-46,72412
164038;35;353300;"EMERGENCIA RESPIRATORIA DE NOVA GRANADA";"AV DR HILDEBERTO ALBUQUERQUE FERREIRA";"CENTRO";-20,53749;-49,32402
174165;35;353490;"ESTRATEGIA SAUDE DA FAMILIA I PACAEMBU";"RUA BAHIA";"JARDIM MARAJA";-21,56684;-51,26151
174300;35;351310;"CENTRO COMUNITARIO DE REF PARA ENFRENTAMENTO A COVID 19";"DONA INACIA";"CENTRO";-21,33585;-47,73182
175560;35;355730;"USF 4 ISABEL DE FATIMA LOZANO DE SOUZA";"RUA JOAO SBARAI";"JD ANHUMAS";-22,27442;-46,95756
175579;35;355730;"USF 5 JOSE PASCOAL ROSALIM";"RUA BASILIO ZANCO";"JD LUDI";-22,26724;-46,94662
177024;35;354150;"CENTRO DE TESTAGEM PARA O COVID 19 DE PRESIDENTE VENCESLAU";"RUA OLAVO BILAC";"VILA TROPICAL";-21,87874;-51,83415
180254;35;351020;"UNIDADE SENTINELA COVID19";"13 DE MAIO";"CENTRO";-24,006;-48,349
181250;35;351040;"CENTRO DE REFERENCIA PARA ATENDIMENTO AO COVID 19";"PRACA DR MARIO DIAS DE AGUIAR";"VILA DO CARMO";-22,99401;-47,4892
182834;35;355080;"CENTRO DE REFERENCIA COVID SSGRAMA";"RUA NOVE DE JULHO";"CENTRO";-21,70973;-46,82465
182877;35;353790;"CEPASS COVID 19";"AV ANTONIO LACERDA";"NOVA PILAR";-23,80606;-47,73047
191477;35;350190;"POLO I COVID 19 SAO DIMAS";"RUA AFONSO GEREMIAS";"JARDIM SAO DIMAS";-22,701;-46,764
191507;35;350190;"POLO II COVID 19 CAMANDUCAIA";"RUA RODRIGO DE ARRUDA BOTELHO";"JARDIM CAMANDUCAIA";-22,701;-46,764
199087;35;350700;"UBS AGUA BRANCA VICE PREFEITO JOSE NEME";"RUA MARIA LUIZA BETTINI CITRONI";"RESIDENCIAL AGUA BRA";-23,25623;-47,66811
199427;35;353020;"ESF DR EXPEDITO E DR SILENO";"RUA DR NOBORU KASAE";"CENTRO";-22,292;-51,906
204455;35;355090;"CENTRO PARA ENFRENTAMENTO A COVID 19 SAO SIMAO";"RUA DR NETO LEME";"CENTRO";-21,47917;-47,55059
208892;35;354490;"CENTRO DE ENFRENTAMENTO DO COVID 19 DE SALES OLIVEIRA";"RUA CAPITAO VITAL PEREIRA";"CENTRO";-20,77173;-47,83702
4682548;35;354515;"USF APARECIDA II SALTINHO";"ANTONIO SETEN";"NOSSA SENHORA APAREC";-22,84157;-47,6806
4684052;35;352720;"ESF VILA PASSOS";"RUA RUI BARBOSA";"VILA PASSOS";-22,73749;-45,10542
212547;35;355040;"UBS JARDIM PRIMAVERA SAO PEDRO";"RUA DOS GIRASSOIS";"CHACARA PRIMAVERA";-22,55166;-47,90456
212997;35;355040;"UBS SAO FRANCISCO SAO PEDRO";"RUA PEDRO BRAGAGNOLO FILHO";"RESIDENCIAL SAO PEDR";-22,548;-47,885
213810;35;351050;"UBS RIO DO OURO VER JORGE JACINTO DE OLIVEIRA CARAGUATATUBA";"AVENIDA AMERICO TIMOTEO DO ROSARIO";"RIO DO OURO";-23,60615;-45,42674
214353;35;353800;"UNIDADE BASICA DE SAUDE VILA RICA PINDAMONHANGABA";"PROFESSORA IDALINA CESAR";"VILA RICA";-22,93896;-45,47778
215856;35;352042;"CENTRO DE ATENDIMENTO COVID 19";"RUA BOM JESUS DE IGUAPE";"SAMBURA";-24,741;-47,54
221953;35;354105;"AMBULATORIO COVID19";"RUA SAO MANUEL";"VILA MENDES";-22,81596;-48,66506
224979;35;350280;"UBS JORGE MALULY NETTO UMUARAMA II";"RUA JOAQUIM CANDIDO";"UMUARAMA";-21,2134;-50,4074
229601;35;352840;"CENTRO DE ATENDIMENTO A COVID 19 DE MAIRINQUE";"AVENIDA FRANCISCO DE ASSIS PINTO";"CENTRO";-23,546;-47,183
229636;35;351100;"CENTRO DE ATENDIMENTO COVID";"AVENIDA PRESIDENTE VARGAS";"CENTRO";-20,872;-51,488
242977;35;350630;"CENTRO DE ATENDIMENTO COVID";"RUA OLIMPIO DA SILVEIRA";"CENTRO";-23,01699;-49,47439
246654;35;351020;"UNIDADE SENTINELA VILA APARECIDA";"AVENIDA ELIAS JORGE DANIEL";"VILA APARECIDA";-24,006;-48,349
251402;35;350010;"UBS JARDIM BRASIL";"RUA MINAS GERAIS";"JARDIM BRAIL";-21,68972;-51,06901
252573;35;351220;"SENTINELA UNIDADE DE ATENDIMENTO COVID 19";"RUA DAS ANGELICAS";"DULCE MARIA";-22,33626;-47,17505
9326;35;354990;"UBS CENTRO I";"RUA CORONEL JOSE MONTEIRO";"CENTRO";-23,18237;-45,88317
258105;35;352115;"CENTRO DE ATENDIMENTO COVID 19";"RUA GERALDINA DUTRA SALVADOR";"JD HABITACIONAL DIVI";-20,65431;-49,38329
258474;35;350250;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID19 DE APAREC";"RUA FRANCISCO PEREIRA RANGEL";"SANTA TEREZINHA";-22,847;-45,23
259195;35;352740;"CENTRO ODONTOLOGICO DE LUCELIA";"AV ANTONIO CHAVARELLI";"VILA RANCHARIA";;
9458;35;354990;"UBS CAMPO DOS ALEMAES";"RUA JOSE IZALTINO SILVA";"CAMPO DOS ALEMAES";-23,1841;-45,8841
259799;35;352970;"UBS VITOR LOURENCO FERREIRA MATTOS";"RUA URBANO DE PAULA SOARES";"JOSE HENRIQUE BARBOS";-20,18667;-48,02676
262773;35;350170;"UBS MARIA APARECIDA ALVES DONA TITA";"RUA RAFAEL HERVIAS RODRIGUES";"JARDIM LUIZ OMETTO I";-21,74037;-48,10752
263230;35;355030;"CENTRO CLINICO REBOUCAS";"AVENIDA REBOUCAS";"PINHEIROS";-23,5706;-46,6909
264083;35;353540;"EQUIPE DE SAUDE DA FAMILIA IV JARDIM BELA VISTA PANORAMA";"DOUTOR MILTON DE NORONHA GUSTAVO";"JARDIM BELA VISTA";-21,36615;-51,85573
264342;35;355645;"SAD VARGEM GRANDE PAULISTA";"RUA NAZARE";"CENTRO";-23,60815;-47,01766
116327;35;355100;"CENTRO DE COMBATE AO CORONAVIRUS DE SAO VICENTE";"RUA JOAO RAMALHO";"CENTRO";-23,96329;-46,38773
266973;35;351100;"UNIDADE BASICA DE SAUDE ANASTACIO DIAS MOREIRA";"OUTROS ASSENTAMENTO NOSSA SENHORA APARECIDA II SAO";"SAO LUIZ";-20,9866;-51,52966
267007;35;351100;"UNIDADE BASICA DE SAUDE LUCILA DOS SANTOS TEODORO";"RUA MARCELINA DA SILVA GOMES";"LARANJEIRAS";-20,872;-51,488
274380;35;355030;"CENTRO CLINICO JOAO RAMALHO";"RUA JOAO RAMALHO";"PERDIZES";-23,53262;-46,6775
274402;35;355030;"CENTRO MEDICO SAO MIGUEL";"JOAO AUGUSTO MORAIS";"VILA DOUTOR EIRAS";-23,4959;-46,4399
276278;35;351950;"CENTRO DE ESPECIALIDADES CARLOS ROBERTO NEGRAO";"HORACIO MARANA";"CENTRO";-22,81464;-50,07501
282596;35;351140;"CASA FEMININA ANITA GARIBALDI CASA I";"RODOVIA ANTONIO SALIM CURIATI KM 21 5";"ZONA RURAL";-23,04913;-49,14258
287636;35;350850;"UBS RESIDENCIAL ESPERANCA";"RUA EDEUZUITA RIBEIRO GOBI";"RESIDENCIAL ESPERANC";-23,124;-45,72227
294012;35;351140;"CASA FEMININO CERQUEIRA CESAR";"SALIM ANTONIO CURIATI KM 21 500M SP 245";"AREA RURAL DE CERQUE";-23,04937;-49,13841
297127;35;353080;"AMBULATORIO DE OSTOMIA";"AVENIDA ADIBI CHAIB";"VILA SAO JOSE";-22,43937;-46,95209
298085;35;354680;"UBS IV JARDIM DAS ACACIAS";"RUA MARIA DE LOURDES SAES NUNES";"JARDIM DAS ACACIAS";-23,31469;-46,20756
301213;35;354730;"UBS DIEGO DE LIMA CAMILO";"AVENIDA OURO BRANCO";"REFUGIO DOS BANDEIRA";-23,41748;-46,95977
301620;35;352710;"USF CINQUENTENARIO DRA YOUKU KAWAHARA";"RUA FAUSTO LONGO BATISTA PEREIRA";"JD GUANABARA";-21,68846;-49,75074
191515;35;350190;"POLO III COVID 19 CENTRAL";"AV DR CARLOS BURGOS";"CENTRO";-22,701;-46,764
373370;35;352530;"UBS JARDIM SAO JOSE";"ANGELO VERONEZI";"JARDIM SAO JOSE";-22,296;-48,558
200786;35;353150;"UNIDADE GRIPAL DIA";"PRACA NEWTON PRADO";"CENTRO";-20,90959;-48,63921
378283;35;355030;"KLABIN";"AVENIDA BRIGADEIRO FARIA LIMA";"ITAIM BIBI";-23,56538;-46,69465
379484;35;350300;"UBS CANINDE";"AVENIDA MADALENA ANTONIA DE JESUS";"CANINDE";-20,17085;-47,83839
380512;35;350715;"UNIDADE MARIO ORLANDO ANTUNES";"RUA ANTONIO CARLOS RUIVO";"CDHU";-24,3207;-49,14731
2025094;35;353050;"ESF DR JACYNTHO TALIBERTI MOCOCA";"RUA ROVAIL RODRIGUES SILVA";"MOCOQUINHA";-21,47421;-47,00616
382523;35;355400;"ESF JARDINS ADRIANA MESQUITA TIBELLIO MOTA TATUI SP";"JOAO FERRAZ FIUZA";"JARDINS DE TATUI";-23,356;-47,857
2038692;35;353880;"ESF SAO JOSE GONCALO GARCIA PIRAJU";"R NENE FREITAS";"CENTRO";-23,19321;-49,38365
2038706;35;353880;"ESF JURUMIRIM FRANCISCO LEITE MENDES GONCALVES PIRAJU";"MADRE GILDA";"VILA JURUMIRIM";-23,19772;-49,37617
228214;35;353460;"UNIDADE DE SAUDE DA FAMILIA ZELINDA FERRARESI FRIZON";"R SALGADO FILHO";"VL PARAIZO";-21,79486;-50,88569
2048442;35;353880;"ESF SAO PEDRO DR DALTON ALVAREZ DERCOLE PIRAJU";"RUA ORESTES SANCHES";"VILA SAO PEDRO";-23,21147;-49,38157
2063360;35;353180;"USF HERCULANO GINEFRA JD SAN REMO";"RUA RUBENS B MINGUZZI";"JAD SANREMO";-22,94545;-47,31324
2069261;35;353880;"ESF TETO DR FARID ABRAHAO JOSE PEDRO PIRAJU";"RUA PROFESSOR CAMILO GOLFIERI";"CONJUNTO RESIDENCIAS";-23,1928;-49,39846
245909;35;351340;"AMBULATORIO COVID 19";"JOAQUIM PRADO";"CENTRO";-22,57;-44,96
260657;35;353282;"CENTRO COVID 19 NOVA CAMPINA";"RUA PRINCIPAL";"ITAOCA";-24,121;-48,904
279617;35;351390;"UNIDADE BASICA DE SAUDE DA FAMILIA ANNA NERY";"JOAQUIM GARCIA";"CENTRO";-21,661;-46,739
404756;35;352670;"UBS NELSON BORGES LEME";"RUA JOSE DUARTE DE MATTOS";"SANTA INES";-22,18141;-47,3932
407011;35;354890;"USF CDHU";"RUA DA PAZ";"VILA ISABEL";-22,03688;-47,8835
409812;35;355020;"USF REBECA DA SILVA VIANNA DOS SANTOS";"AVENIDA IDALINA VAZ";"NOVA BELA VISTA";-23,88994;-47,9919
411116;35;351700;"UBS MACUCOS";"AVENIDA SANTA MARIA";"MACUCOS";-21,74589;-50,10784
411191;35;350950;"CENTRO DE SAUDE JARDIM BASSOLI";"RUA LEONEL FERREIRA GOMES";"JARDIM BASSOLI";-22,96898;-47,20198
413844;35;353410;"UBS EDUARDO GALINDO MENDES";"AVENIDA AZALEIA";"JARDIM DONA ELVIRA";-22,15965;-50,08959
414697;35;352590;"CLINICA DA FAMILIA NOVO HORIZONTE II";"JOSE RIBEIRO BARBOSA";"ALMERINDA CHAVES";-23,186;-46,884
421154;35;353710;"USF EDGARDO LUIS STEULA";"FELIPE LAZARINI";"VILA CANESSO";-22,74241;-46,9148
424838;35;350320;"USF SAO BENTO";"AVENIDA AUGUSTO BERNARDI";"SAO BENTO";-21,76243;-48,21342
428116;35;351200;"ESF USB SANTA LUCIA ENFERMEIRA NOELI BUENO DE SOUZA";"RUA DOUTOR OSCAR PINHEIRO BARCELLOS";"JARDIM SANTA LUCIA";-20,70548;-48,53337
433284;35;353930;"USF FRANCISCO BELLONI";"RUA PANAMA";"VILA ESPERANCA";-21,97127;-47,42547
443174;35;355030;"CLINICA SCONTRE DE GINECOLOGIA PEDIATRIA";"RUA CARAMURU";"SAUDE";-23,60782;-46,63889
4630599;35;353880;"ESF CODESPAULO OSWALDO CORONA";"WALTER SCATUZZI";"CONJ HAYDEE ATHIE";-23,21466;-49,37292
446882;35;355360;"UBSF JOSE S GONCALEZ";"RUA BERTOLDO CUSTODIO DIAS";"JARDIM JOSE SCAFF";-21,47272;-46,75317
447838;35;353260;"ESF CENTRO";"RUA ANTONIO BENTO DE OLIVEIRA";"CENTRO";-20,69444;-50,04011
451010;35;355610;"ESTRATEGIA SAUDE DA FAMILIA CENTRAL II";"AVENIDA CAVALIN";"CENTRO";-20,424;-50,0848
451037;35;355610;"ESTRATEGIA SAUDE DA FAMILIA JARDIM YPE II";"AVENIDA ALBERTO JONAS DO LIVRAMENTO";"JARDIM YPE";-20,41345;-50,08292
451258;35;353720;"ESF AMOREIRAS";"ESTRADA PRINCIPAL";"AMOREIRAS";-24,32267;-47,30736
8184;35;353440;"UBS CAROLINA MARIA DE JESUS";"RUA JOSE DE ALMEIDA VARGAS";"JAGUARIBE";-23,55697;-46,78976
465658;35;350330;"UBS DR ANTONIO SIMOES PONTES ARARAS";"AVENIDA JOAO ROSSI";"JARDIM AEROPORTO";-22,33781;-47,35104
467944;35;350330;"ESF OPHELIA GERACI PESSE ARARAS";"AVENIDA PROFESSOR DIRCON KAMMER";"JARDIM ALTO DA COLIN";-22,32248;-47,38078
473383;35;355010;"CENTRAL COVID";"AVENIDA IRMAS CINTRA";"CENTRO";-22,73473;-48,57008
478024;35;354980;"UBS LUZ DA ESPERANCA";"RUA JOSE TOSCHI";"LOTEAMENTO RESIDENCI";-20,77271;-49,31852
478849;35;354980;"UBS FRATERNIDADE";"AVENIDA CLELIA CERIBELLI DE ASSIS FERREIRA";"RESIDENCIAL FRATERNI";-20,87612;-49,33914
2053896;35;351550;"UBS ANTONIO SANTILIO COHAB FERNANDOPOLIS";"AVENIDA PAULINO MAXIMIANO DURAN";"SANTA CECILIA";-20,26765;-50,25754
513253;35;352650;"CENTRO DE DETENCAO PROVISORIA DE LAVINIA";"MANOEL CAETANO KM 4 3";"PEROBAL";-21,19954;-51,0604
798010;35;352260;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA VITORIO COPPOS";"SAO BENEDITO";-22,43259;-46,82693
606367;35;350980;"PSF MARIA FRABETTI DE SOUZA";"JOSE LEONARDO DIOGO";"CENTRO";-22,60603;-49,99533
2091887;35;355300;"UBS ROSA BORANGA RIBEIRO";"RUA JOAO FLORIANO MARTINS";"CENTRO";-23,45307;-49,41112
616915;35;352740;"CENTRAL COVID 19";"RUA DORIVAL RODRIGUES DE BARROS";"CENTRO";;
619876;35;353580;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA ELVIRA MARIA DE JESUS";"CENTRO";-23,37529;-48,72637
630896;35;352670;"UBS JARDIM EMPYREO LEME";"RUA SEBASTIAO OSORIO MARTINS";"JARDIM EMPYREO";-22,21221;-47,37681
639400;35;353570;"CENTRO DE ATENDIMENTO COVID 19";"RUA PIRATININGA";"SAO CRISTOVAO";-21,02273;-48,77507
229261;35;354100;"USAFA GUILHERMINA";"AV PRESIDENTE KENNEDY";"GUILHERMINA";-24,00709;-46,43004
664669;35;351850;"ESF JOSE MARIA DOS SANTOS";"AVENIDA VIRGILIO TRINDADE DE AVILA";"FLORESTA I";-23,36085;-48,17924
668060;35;353350;"CENTRO DE ATENDIMENTO COVID";"ALAMEDA ROBERTO DELLA TOGNA";"VILA PATTI";-21,46714;-49,22648
5289203;35;350850;"PSF ALDEIAS DA SERRA";"RUA BENEDICTA AUGUSTA DE PAULA";"ALDEIAS DA SERRA";-23,05859;-45,71093
686026;35;354260;"PENITENCIARIA DE REGISTRO";"REGIS BITTENCOURT BR 116 KM 453";"CENTRO PRISIONAL";-24,49425;-47,84105
229962;35;354100;"USAFA NOEMIA";"AV PRESIDENTE KENNEDY";"TUPI";-24,01678;-46,45569
708550;35;353070;"CONSULTORIO DA ESPERANCA";"AVENIDA ANTONIO PATARO";"ROSA CRUZ";-22,38462;-46,94678
2041820;35;352610;"UNIDADE DE ESF COLONIZACAO JUQUIA";"BAIRRO COLONIZACAO";"COLONIZACAO";-24,13716;-47,6474
2041855;35;352610;"UNIDADE DE ESF VILA FLORINDO JUQUIA";"ESTRADA DE SETE BARRAS";"VILA FLORINDO";-24,31839;-47,6412
2041898;35;352610;"UNIDADE DE ESF VILA NOVA JUQUIA";"RUA JOSE NUNES DE AQUINO";"VILA NOVA";-24,31907;-47,63783
723592;35;353350;"CENTRO DE REABILITACAO POS COVID";"RUA CARVALHO LEME";"CENTRO";-21,46747;-49,22029
728144;35;355330;"UNIDADE BASICA DE SAUDE MARIA DA GLORIA BITTENCOURT VIELA";"RUA TREZE DE MAIO";"CENTRO";-21,70477;-47,27503
9567658;35;352610;"UNIDADE BASICA DE SAUDE PREFEITO ANTONIO ALONSO JUQUIA";"RUA GOIAS";"PARQUE NACIONAL";-24,31375;-47,63168
8125;35;353440;"UBS LUCIANO RODRIGUES COSTA";"PRACA MARIA JOSE DA SILVEIRA";"JAD ROBERTO";-23,54164;-46,8012
766097;35;351390;"ESF UNIDADE DE SAUDE ANNA NERY";"JOAQUIM GARCIA";"CENTRO";-21,66239;-46,73709
773077;35;351150;"UBS BARREIRO RICO";"UNAMED ROAD";"BARREIRO RICO";-23,20459;-47,79776
43486;35;353282;"UNIDADE DE SAUDE DA FAMILIA BAIRRO BARREIRO";"RUA TEOFILA JOVINA DE ALMEIDA";"BARREIRO";-24,18036;-48,94017
779369;35;353550;"CENTRO DE ATENDIMENTO E ENFRENTAMENTO A COVID 19";"RUA POLIDORO SIMOES";"JARDIM TENIS CLUBE";-22,41295;-50,59361
157945;35;351440;"ESF VIII DR NELSON YURASSECK FILHO";"RUA MANOEL PEDRO";"CONJ HAB PAULO VEND";-21,4886;-51,5601
716065;35;353930;"CASA DO ADOLESCENTE PIRASSUNUNGA";"RUA SAO SEBASTIAO";"VILA SANTA FE";-21,99609;-47,426
413933;35;353760;"USAFA CENTRO";"RUA ERASMO PINHEIRO RIBAS";"CENTRO";-24,3213;-46,99452
