 Procedimentos hospitalares do SUS - por local de internação - São Paulo;;;
Internações por Estabelecimento e Gestão;;;
Período:2024;;;
Estabelecimento;Estadual plena;Municipal plena assist;Total
2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;6648;-;6648
2068974 PAM VARZEA DO CARMO NGA 63 SAO PAULO;486;-;486
2069008 AMBULATORIO DE ESPECIALIDADES DR GERALDO PAULO BOURROUL;2064;-;2064
2069776 HOSPITAL DE URGENCIA;-;12225;12225
2070766 CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP;505;-;505
2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;4611;-;4611
2071568 HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO;13609;-;13609
2072033 UNIDADE MISTA DE SAUDE DE EMBUGUACU;-;1461;1461
2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA;-;3556;3556
2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;-;5498;5498
2075962 HOSP DA STA CASA DE STO AMARO;-;7034;7034
2076896 HOSPITAL SAO LUIZ GONZAGA;-;9752;9752
2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO;8497;-;8497
2076942 HOSPITAL DE ITATINGA;-;299;299
2076985 CASA DA CRIANCA BETINHO;-;16;16
2077078 UNIDADE MISTA E MATERNIDADE CENTRAL;-;2367;2367
2077124 UNIDADE MISTA DE ATENDIMENTO INFANTIL;-;951;951
2077388 HOSPITAL AMPARO MATERNAL;-;6564;6564
2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;49382;-;49382
2077418 CAISM PHILIPPE PINEL SAO PAULO;1448;-;1448
2077426 HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;16017;-;16017
2077434 HOSPITAL DR LEOPOLDO BEVILACQUA;9239;-;9239
2077450 HOSP MUN PIRITUBA JOSE SOARES HUNGRIA;-;4267;4267
2077477 HOSP STA MARCELINA SAO PAULO;31292;-;31292
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP;23917;-;23917
2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO;9049;-;9049
2077507 HOSPITAL LEFORTE LIBERDADE;-;1056;1056
2077515 HOSPITAL SAO VICENTE DE PAULA DE ARANDU;-;91;91
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;11862;-;11862
2077531 A C CAMARGO CANCER CENTER;-;1355;1355
2077558 HOSPITAL SAO CAMILO AGUAS DE LINDOIA;-;1422;1422
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;19098;-;19098
2077582 HOSPITAL NOSSA SENHORA DA PIEDADE;-;2587;2587
2077590 IBCC;-;3978;3978
2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;14843;-;14843
2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA;-;12895;12895
2077647 SANTA CASA DE MIS DE ADAMANTINA NA PROVIDENCIA DE DEUS;-;4435;4435
2077655 ASSOC AACD V CLEMENTINO;-;1231;1231
2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;15719;-;15719
2077701 HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;6387;-;6387
2077752 HOSP MONUMENTO CEHM;-;6481;6481
2077957 CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;833;-;833
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;53400;-;53400
2078031 HOSPITAL SANTA TEREZA DE RIBEIRAO PRETO;759;-;759
2078074 SANTA CASA DE LEME;-;5530;5530
2078104 HOSPITAL GERAL DE ITAPEVI;16131;-;16131
2078112 HOSPITAL SANTA RITA DE SALES OLIVEIRA;-;322;322
2078139 SANTA CASA DE PRESIDENTE VENCESLAU;-;2508;2508
2078155 HOSPITAL STELLA MARIS;-;2670;2670
2078198 UNIDADE MISTA DE SANTO ANTONIO DA ALEGRIA;-;111;111
2078252 SANTA CASA DE BIRIGUI;-;4535;4535
2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER;14451;-;14451
2078295 SANTA CASA DE TAQUARITINGA;-;4350;4350
2078325 HOSP MUN INFANTIL MENINO JESUS;-;7232;7232
2078341 ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CORACAO DE JESUS;-;1124;1124
2078384 HOSPITAL ESPIRITA;-;422;422
2078414 SANTA CASA DE GUAIRA;-;3145;3145
2078422 FUNBEPE PEDREIRA;-;1048;1048
2078449 SANTA CASA DE PATROCINIO PAULISTA;700;63;763
2078465 REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA;-;1384;1384
2078473 HOSPITAL DR LUIZ CAMARGO DA FONSECA E SILVA;-;6480;6480
2078503 SANTA CASA DE PENAPOLIS;-;5369;5369
2078511 HOSPITAL REGIONAL DE ILHA SOLTEIRA;2347;-;2347
2078538 HOSPITAL NOSSA SENHORA APARECIDA;-;2108;2108
2078546 SANTA CASA SAO BENTO DO SAPUCAI;-;491;491
2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA;15224;-;15224
2078570 HOSPITAL CANTAREIRA;-;1631;1631
2078597 UNIDADE REFERENCIADA OSWALDO CRUZ VERGUEIRO;-;11;11
2078775 SANTA CASA DE ARACATUBA HOSPITAL SAGRADO CORACAO DE JESUS;12074;-;12074
2078813 HOSPITAL OFTALMOLOGICO DE SOROCABA;1972;-;1972
2078848 SANTA CASA ANNA CINTRA;-;3465;3465
2078902 SANTA CASA PILAR DO SUL;-;1000;1000
2078937 SANTA CASA DE APARECIDA DOESTE;-;78;78
2079011 HOSP LEITO E PRONTO ATENDIMENTO AURELINO ALVES DOS SANTOS;-;1686;1686
2079097 SANTA CASA DE CAPAO BONITO;-;2785;2785
2079119 CENTRO DE REF DA SAUDE DA MULHER DE R PRETO MATER;4662;-;4662
2079135 SANTA CASA DE MISERICORDIA DE TATUI;-;5243;5243
2079178 MATERNIDADE MUNICIPAL;-;309;309
2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;-;13693;13693
2079194 HOSPITAL NESTOR GOULART REIS AMERICO BRASILIENSE;81;-;81
2079208 LAR ESPIRITA MARIA DE NAZARE MOJI MIRIM;2;-;2
2079216 HOSPITAL E MATERNIDADE JOSE FORTUNA;-;447;447
2079224 HOSPITAL SAO JOSE;-;217;217
2079232 HOSPITAL SANTA BARBARA;-;5965;5965
2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;3760;-;3760
2079291 SANTA CASA DE PALMEIRA DOESTE;-;843;843
2079313 HOSPITAL SAO ROQUE CABREUVA;-;532;532
2079321 HOSPITAL GPACI SOROCABA;-;2751;2751
2079348 SANTA CASA DE IGARAPAVA;-;1275;1275
2079356 SANTA CASA DE TANABI;1420;-;1420
2079364 SANTA CASA DE MISERICORDIA DE SERRANA;-;823;823
2079380 SANTA CASA DE SALESOPOLIS;-;524;524
2079399 SANTA CASA DE MISERICORDIA SAO MIGUEL TABATINGA SP;-;839;839
2079402 SANTA CASA SAO VICENTE DE PAULO BOA ESPERANCA DO SUL;-;42;42
2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;5937;-;5937
2079429 SANTA CASA SALTO DE PIRAPORA;-;1999;1999
2079437 HOSPITAL BENEFICENTE DE MARACAI;-;922;922
2079461 SANTA CASA DE MISERICORDIA SAO FRANCISCO BURITAMA;-;681;681
2079496 SANTA CASA DE CRAVINHOS;-;22;22
2079518 SANTA CASA DE MIS E MATERNIDADE N SRA DA CONCEICAO CUNHA;-;1277;1277
2079550 SANTA CASA DE SANTA ADELIA;-;675;675
2079593 HOSPITAL SAO JOAO REGISTRO;4460;-;4460
2079615 HOSPITAL MUNICIPAL DE IBIUNA IBIUNA SP;-;3565;3565
2079682 SANTA CASA DE NEVES PAULISTA;-;48;48
2079690 SANTA CASA DE MISERICORDIA DE SAO LUIZ DO PARAITINGA;-;204;204
2079704 HOSPITAL DR RENATO SILVA DE SOCORRO;-;3031;3031
2079720 HOSPITAL GUILHERME ALVARO SANTOS;7699;-;7699
2079763 CASA CAIRBAR SCHUTEL;-;586;586
2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;28946;-;28946
2079828 HOSPITAL GERAL PIRAJUSSARA;18265;-;18265
2079836 SANTA CASA DE MISERICORDIA ITAPOLIS;-;2844;2844
2079852 SANTA CASA DE PIRACAIA;-;659;659
2079860 HOSPITAL E MATERNIDADE DE SUZANO;-;5250;5250
2079879 SANTA CASA DE TAQUARITUBA;-;2111;2111
2079895 SANTA CASA DE MISERICORDIA DE JALES;4966;-;4966
2079909 HOSP BENEFICENTE DE PIRANGI;-;1069;1069
2079917 SANTA CASA DE LOUVEIRA;-;2839;2839
2079925 SANTA CASA DE PORTO FELIZ;-;4131;4131
2079968 SANTA CASA DE URANIA;-;235;235
2079976 SANTA CASA DE LARANJAL PAULISTA;-;1514;1514
2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD;-;9387;9387
2080044 SANTA CASA DE SAO JOAQUIM DA BARRA;3159;-;3159
2080052 HOSPITAL NOSSA SENHORA APARECIDA;-;10865;10865
2080079 HOSPITAL DR OSIRIS FLORINDO COELHO;6733;-;6733
2080087 SANTA CASA DE MISERICORDIA DE TIETE;-;2126;2126
2080095 SANTA CASA DE JOSE BONIFACIO;1731;-;1731
2080109 SANTA CASA DE POPULINA;-;201;201
2080117 HOSPITAL PSIQUIATRICO ALLAN KARDEC FRANCA SP;-;1016;1016
2080125 INSTITUTO DO CANCER ARNALDO VIEIRA DE CARVALHO;5094;-;5094
2080184 HOSPITAL MUNICIPAL;-;2765;2765
2080192 HOSP EST ESPEC EM REABILIT DR FRANCISCO RIBEIRO ARANTES;58;-;58
2080222 SANTA CASA DE CACONDE;1315;-;1315
2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE;14023;-;14023
2080281 HOSPITAL SAO JOSE DE HERCULANDIA;878;-;878
2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO;17887;-;17887
2080346 HOSP MUN DR CARMINO CARICCHIO;-;9396;9396
2080354 HOSPITAL SANTO ANTONIO SANTOS;-;1799;1799
2080362 CASA DE SAUDE DE INDIAPORA;-;399;399
2080370 SANTA CASA DE PIRAJUI;-;1461;1461
2080400 HOSPITAL IMACULADA CONCEICAO;-;7618;7618
2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;-;5069;5069
2080443 IRMANDADE DA SANTA CASA DE MISERICORDIA SAO VICENTE DE PAULO;-;1345;1345
2080451 SANTA CASA DE IPUA;-;816;816
2080478 SANTA CASA DE MISERICORDIA DE PEDREGULHO;944;-;944
2080508 SANTA CASA DE ALVARES MACHADO;-;767;767
2080524 HOSPITAL E MATERNIDADE REGIONAL REGENTE FEIJO;-;797;797
2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT;5367;-;5367
2080575 HOSPITAL BP;-;2990;2990
2080583 HOSP MUN TIDE SETUBAL;-;10919;10919
2080605 HOSPITAL PADRE NICANOR MERINO TORRINHA;-;93;93
2080621 SANTA CASA POMPEIA;-;696;696
2080664 SANTA CASA DE TUPA;7959;-;7959
2080680 HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO;15323;-;15323
2080699 HOSPITAL UNIMED PIRACICABA;3;-;3
2080737 HOSPITAL SAO VICENTE DE GALIA;-;115;115
2080745 SANTA CASA DE SANTA CRUZ DAS PALMEIRAS;-;1319;1319
2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO;-;4318;4318
2080826 HOSPITAL SAO JOSE DE ITAJOBI;-;707;707
2080842 SANTA CASA DE MISERICORDIA DE CANDIDO MOTA;-;2183;2183
2080869 SANTA CASA DE PAULO DE FARIA;-;117;117
2080915 AHBB BILAC;-;175;175
2080923 HOSPITAL SAO VICENTE;-;4691;4691
2080931 SANTA CASA DE SAO CARLOS;-;15518;15518
2080958 SANTA CASA DE MISERICORDIA DE PALMITAL;-;1914;1914
2080966 SANTA CASA DE ESTRELA DOESTE;-;741;741
2080982 HOSPITAL DE CLEMENTINA;284;-;284
2080990 HOSPITAL ESPIRITA DE MARILIA;-;522;522
2081059 HOSPITAL MUNICIPAL DE PAULINIA;-;8342;8342
2081083 SANTA CASA DE ASSIS;-;6073;6073
2081091 HOSPITAL MUNICIPAL DE ITAPIRA;-;3895;3895
2081105 SANTA CASA DE VALPARAISO;-;764;764
2081113 HOSPITAL SANTA FILOMENA DE RIO CLARO;-;1;1
2081164 HOSPITAL SANTA LYDIA RIBEIRAO PRETO;-;3450;3450
2081202 HOSPITAL E MATERNIDADE SAO LUCAS;-;2134;2134
2081237 HOSPITAL SAO PAULO DE RINOPOLIS;-;230;230
2081245 SANTA CASA DE SUD MENNUCCI;-;281;281
2081253 HOSPITAL SAO LUIZ DE ARARAS;-;6117;6117
2081261 HOSPITAL SAO LUIZ;-;2634;2634
2081288 HOSPITAL DO CORACAO;-;4;4
2081296 HOSPITAL JOAO DEPIERI DE CAJOBI;-;506;506
2081342 HOSPITAL SAO LOURENCO;-;490;490
2081350 HOSPITAL DE PIRAJU;-;2211;2211
2081377 SANTA CASA DE VOTUPORANGA;10434;-;10434
2081385 SANTA CASA DE TUPI PAULISTA;-;1112;1112
2081393 HOSPITAL SANTA ROSA DE LIMA DE SERRA NEGRA;-;1356;1356
2081407 UNIDADE MISTA DE SAUDE DE JARINU MONSENHOR JACOB CONTI;-;570;570
2081431 SANTA CASA DE LUCELIA;-;533;533
2081458 SANTA CASA DE LIMEIRA;-;13148;13148
2081466 HOSPITAL NOSSA SENHORA DA DIVINA PROVIDENCIA;766;-;766
2081482 BOLDRINI CAMPINAS;2608;-;2608
2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS;-;10875;10875
2081512 SANTA CASA DE MISERICORDIA DE GUARATINGUETA;-;6599;6599
2081520 HOSPITAL E MATERNIDADE DE GUARACAI;-;583;583
2081555 SANTA CASA DE MISERICORDIA DE ITARARE;-;4154;4154
2081563 CLINICA DE REPOUSO SANTA ROSA ESPIRITO SANTO DO PINHAL;190;-;190
2081571 SANTA CASA DE RIOLANDIA;-;151;151
2081598 SANTA CASA DE MISERICORDIA SAO LUCAS;-;347;347
2081652 SANTA CASA DE GENERAL SALGADO;-;486;486
2081660 SANTA CASA DE IPAUCU;-;521;521
2081695 CONJUNTO HOSPITALAR SOROCABA;18783;-;18783
2081717 SANTA CASA DESCALVADO;-;1789;1789
2081725 CAIS CLEMENTE FERREIRA DE LINS;1042;-;1042
2081733 SEARA HOSPITAL PSIQUIATRICO;-;156;156
2081768 SANTA CASA DE AURIFLAMA;-;2269;2269
2081784 HOSPITAL SANTA THEREZINHA BROTAS;-;831;831
2081792 SANTA CASA DE MACAUBAL;-;60;60
2081806 HOSPITAL PADRE JOAO W BRAEM;-;31;31
2081814 SANTA CASA DE GUARARAPES;-;1640;1640
2081873 HOSPITAL E MATERNIDADE DE RANCHARIA;3774;-;3774
2081903 HOSPITAL DE CARIDADE DE VARGEM GRANDE DO SUL;-;2327;2327
2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;-;9833;9833
2081989 HOSPITAL SAO SEBASTIAO DE BORBOREMA;-;752;752
2082071 SANTA CASA DE CARDOSO;426;-;426
2082098 HOSPITAL DR ADHEMAR DE BARROS APIAI;-;2927;2927
2082128 HOSPITAL E MATERNIDADE CELSO PIERRO;-;15334;15334
2082179 HOSPITAL SAO FRANCISCO DE AMERICANA;-;65;65
2082187 HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO;51381;-;51381
2082195 BENEFICENCIA PORTUGUESA DE AMPARO;-;155;155
2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES;-;9382;9382
2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;8271;-;8271
2082276 CASAS ANDRE LUIZ GUARULHOS;14;-;14
2082284 SANTA CASA DE GRAMA;-;572;572
2082306 SANTA CASA DE CASA BRANCA;-;1758;1758
2082322 HOSPITAL DONA BALBINA;-;1984;1984
2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI;-;15505;15505
2082381 HOSPITAL MUNICIPAL DE BEBEDOURO JULIA PINTO CALDEIRA;-;1939;1939
2082438 SANTA CASA DE CHAVANTES;1160;-;1160
2082446 CLINICA NOSSO LAR;-;741;741
2082454 CASA DA CRIANCA DE TUPA;40;-;40
2082470 HOSPITAL SAO LEOPOLDO MANDIC;-;51;51
2082497 SANTA CASA HOSPITAL JESUS MARIA JOSE;-;687;687
2082519 SANTA CASA DE PARAGUACU PAULISTA;-;4180;4180
2082527 SANTA CASA DE ARARAQUARA;-;15658;15658
2082551 SANTA CASA DE IBIRA;-;439;439
2082586 SANTA CASA DE MISERICORDIA DE OSVALDO CRUZ;-;2475;2475
2082594 COMPLEXO HOSPITALAR MUNICIPAL;-;7340;7340
2082624 HOSPITAL JAPONES SANTA CRUZ;-;21;21
2082632 HOSPITAL E MATERNIDADE SAO JOSE BARRA BONITA;-;1969;1969
2082640 SANTA CASA DE CARIDADE E MATERNIDADE IBITINGA;-;4448;4448
2082659 SANTA CASA DE NOVA GRANADA;1551;-;1551
2082667 SANTA CASA DE MONTE APRAZIVEL;2361;-;2361
2082675 ASSOCIACAO DE AMPARO AO EXCEPCIONAL RITINHA PRATES;-;27;27
2082691 SANTA CASA DE ANDRADINA;-;3382;3382
2082721 HOSPITAL E MATERNIDADE SOTERO DE SOUZA;-;4070;4070
2082748 HOSPITAL ANGATUBA;-;1464;1464
2082756 SANTA CASA DE SALTO GRANDE;-;450;450
2082780 BENEFICENCIA HOSPITALAR DE CESARIO LANGE;-;536;536
2082810 CONDERG HOSPITAL REGIONAL DE DIVINOLANDIA;4587;-;4587
2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;-;13097;13097
2082845 SANTA CASA DE OLIMPIA;-;3716;3716
2082853 HOSPITAL MAJOR ANTONIO CANDIDO BATATAIS;-;4374;4374
2082861 HOSP MUNICIPAL DE URGENCIAS HMU;-;6872;6872
2082888 SANTA CASA DE RIO CLARO;-;9167;9167
2082926 CASA DE SAUDE STELLA MARIS;-;7338;7338
2082934 SANTA CASA DE MISERICORDIA DE TAGUAI;-;632;632
2082942 SANTA CASA DE MACATUBA;-;755;755
2083019 HOSPITAL ESTADUAL DE MIRANDOPOLIS DR OSWALDO BRANDI FARIA;3650;-;3650
2083027 SANTA CASA DE MISERICORDIA DE PEREIRA BARRETO;-;846;846
2083051 SANTA CASA DE APARECIDA;4652;-;4652
2083086 HOSPITAL AMARAL CARVALHO JAU;14028;-;14028
2083094 HOSPITAL REGIONAL DE ASSIS;3990;-;3990
2083116 SANTA CASA DE MARILIA;-;5644;5644
2083140 IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTA ISABEL;-;2250;2250
2083159 BEZERRA DE MENEZES RIO CLARO;852;-;852
2083175 SANTA CASA PIEDADE;-;2791;2791
2083213 HOSPITAL TERRA ROXA;-;53;53
2083264 HOSPITAL MUNICIPAL JOAQUIM RAIMUNDO GOMES GUAPIARA;-;91;91
2083272 HOSPITAL MUNICIPAL DE BERTIOGA;-;3211;3211
2083493 SANTA CASA DE PONTAL;-;1759;1759
2083604 SANTA CASA DE AVARE;-;7127;7127
2083876 SANTA CASA DE MISERICORDIA DE FRANCISCO MORATO;-;6628;6628
2083973 SANTA CASA DE GUARA;-;1077;1077
2083981 HOSPITAL ESTADUAL SUMARE;12977;-;12977
2084007 UNIDADE MISTA DE SAUDE DR JOSE ORLANDO S BORGATTO;-;241;241
2084023 HOSPITAL MUNICIPAL DE NAZARE PAULISTA;-;566;566
2084058 SANTA CASA MISER STACRUZ RIO PARDO;-;4316;4316
2084074 HOSP MARIA VALLE PEREIRA DE TABAPUA;-;738;738
2084139 HOSP MUN J IVA BENEDITO MONTENEGRO;-;1931;1931
2084147 HOSPITAL DA REABILITACAO DO ABC;-;289;289
2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA;11462;-;11462
2084171 HOSPITAL E MATERNIDADE SAO JOSE;-;6334;6334
2084228 SANTA CASA DE MISERICORDIA DONA CAROLINA MALHEIROS SJBV;-;5829;5829
2084236 CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG;400;-;400
2084244 IRPSI;-;345;345
2084252 SOBRAPAR CAMPINAS;1069;-;1069
2084287 SANTA CASA DE MISERICORDIA DE ITAPIRA;-;36;36
2084317 CLINICA FAZENDA PALMEIRAS;-;1186;1186
2084384 INSTITUTO BEZERRA DE MENEZES ESPIRITO SANTO DO PINHAL;1335;-;1335
2084414 SANTA CASA DE RIBEIRAO PRETO;-;12440;12440
2084422 SANTA CASA DE SAO PEDRO;-;3699;3699
2084430 HOSPITAL E MATERNIDADE MADRE VANNINI;-;2002;2002
2084473 HOSP MUN IGNACIO PROENCA DE GOUVEA;-;6102;6102
2085143 INSTITUTO AMERICO BAIRRAL DE PSIQUIATRIA;2429;-;2429
2085194 HOSPITAL SAO FRANCISCO DE ASSIS;-;5209;5209
2085569 CVV FRANCISCA JULIA;-;737;737
2085976 PSA DR IDEIR HAMAMOTO E PSI GIVALDO SOARES DA SILVA;-;1901;1901
2086050 MATERNIDADE GOTA DE LEITE;-;1111;1111
2086271 MATERNIDADE MUNICIPAL ZORAIDE EVA DAS DORES;-;933;933
2086336 HOSPITAL INFANTIL MENINO JESUS;-;849;849
2086719 SANTA CASA DE MISERICORDIA DE JOANOPOLIS;-;216;216
2087057 HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA;-;9649;9649
2087103 SOCIEDADE OPERARIA HUMANITARIA LIMEIRA;-;3070;3070
2087111 IRMANDADE DA SANTA CASA DE MISERICORDIA LORENA;-;5442;5442
2087219 HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA;-;3975;3975
2087618 HOSPITAL MUNICIPAL DE VOTORANTIM;-;4213;4213
2087715 HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MARIO COVAS;-;5670;5670
2087804 HOSPITAL REGIONAL JORGE ROSSMANN DE ITANHAEM;12431;-;12431
2088193 IRMANDADE DA STA CASA DE MISERICORD DE MOGI MIRIM MOGI MIRIM;-;4516;4516
2088487 SANTA CASA DE NOVO HORIZONTE;-;2475;2475
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;11679;-;11679
2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;2890;-;2890
2088525 SANTA CASA DE MIGUELOPOLIS;-;1188;1188
